"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q1,Q2";"TO-220AB_IRF2804_RMC";2;"MOSFET_N_RMC";;;
2;"U4";"SOT223";1;"1117";;;
3;"R5,R6,R12";"SM0805";3;"10k";;;
4;"R9,R2,R1,R8";"SM0805";4;"100k";;;
5;"R4,R3";"SM0805";2;"4k7";;;
6;"C1,C2";"SM0805";2;"20pF";;;
7;"R7";"SM0805";1;"1k";;;
8;"C4,C13,C14,C15,C16,C17";"SM0805";6;"100nF";;;
9;"C3";"SM0805";1;"330nF";;;
10;"P10,P6";"PIN_ARRAY_4x1";2;"CONN_4";;;
11;"K4,K3,K2,K1";"PIN_ARRAY_3X1";4;"CONN_3";;;
12;"P5,P8,P4,P7";"PIN_ARRAY_2X1";4;"CONN_2";;;
13;"JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,JP9,JP10,JP12,JP11,JP13";"PIN_ARRAY_2X1";13;"JUMP_MINI";;;
14;"P20";"PIN_ARRAY-6X1";1;"CONN_6";;;
15;"U1";"LM78XXV";1;"7805";;;
16;"U7";"QFP48_0.5mm_7x7mm_SOT313_LPC1343";1;"STM32F100_48";;;
17;"SW1";"SW_6x6_MULTI";1;"RST";;;
18;"C12,C7,C8,C18";"SM0805";4;"10uF";;;
19;"R10";"SM0805";1;"NF";;;
20;"R11";"SM0805";1;"12k";;;
21;"R13";"SM0805";1;"510";;;
22;"U8";"Pin_Array_5x2_1.27mm_RMC";1;"CONN_CORTEX_DEBUG";;;
23;"C5,C6,C10,C11";"C1V5H";4;"100uF";;;
24;"C9";"C2V10";1;"1000uF";;;
25;"X1";"HC49-US_Minimized";1;"8MHz";;;
26;"P2";"PCB_SCREW_TERM_4";1;"MOT_X";;;
27;"P3";"PCB_SCREW_TERM_4";1;"MOT_Y";;;
28;"P16";"PCB_SCREW_TERM_4";1;"MOT_E1";;;
29;"P15";"PCB_SCREW_TERM_4";1;"MOT_Z";;;
30;"P1";"PCB_SCREW_TERM_2";1;"CONN_2";;;
31;"D1";"LED-0805";1;"LED";;;
32;"P12,P14,P13,P11";"HOLE_M3";4;"1PIN_TH";;;
33;"U6";"POLOLU";1;"POLOLU-E1";;;
34;"U5";"POLOLU";1;"POLOLU-Z";;;
35;"U3";"POLOLU";1;"POLOLU-Y";;;
36;"U2";"POLOLU";1;"POLOLU-X";;;
37;"U9";"MICRO_SD_DM3D";1;"CONN_MICROSD";;;
